"","ScoringCrediticio","Edad","BalanceCuenta","CantidadProductos","SalarioEstimado","DejaBanco"
"1",520,34,134007.9,1,193209.11,"0"
"2",534,38,0,1,143938.27,"0"
"3",598,23,0,2,153229.19,"0"
"4",662,37,155187.3,1,48930.8,"0"
"5",715,35,40169.88,2,199857.47,"0"
"6",634,77,0,2,161579.85,"0"
"7",654,32,114510.85,1,126143.23,"0"
"8",834,49,131394.56,1,194365.76,"1"
"9",535,40,0,1,27689.77,"0"
"10",579,33,0,2,54816.57,"0"
"11",612,52,144772.69,1,98302.57,"1"
"12",698,41,90605.29,1,14357,"0"
"13",497,32,111537.23,4,9497.99,"1"
"14",724,30,115315.04,1,15216.53,"0"
"15",606,42,0,2,177938.52,"0"
"16",692,36,0,1,185580.89,"1"
"17",568,40,99282.63,1,134600.94,"1"
"18",470,35,96473.59,1,5962.3,"0"
"19",499,38,0,2,183042.2,"0"
"20",790,47,148636.21,1,16119.96,"1"
"21",800,40,97764.41,1,98640.15,"1"
"22",569,34,151839.26,1,102299.81,"1"
"23",697,43,128226.37,1,188486.94,"0"
"24",844,41,76319.64,1,141175.18,"1"
"25",631,31,137687.72,1,190067.12,"0"
"26",691,31,40915.55,1,126213.84,"1"
"27",564,28,0,1,162428.05,"0"
"28",792,30,127187.86,1,113553.42,"0"
"29",710,31,0,2,9561.73,"0"
"30",589,37,0,1,61324.87,"0"
"31",758,30,141581.08,1,156249.06,"0"
"32",692,44,0,1,159069.37,"0"
"33",637,32,0,1,148769.08,"0"
"34",517,62,43772.66,3,187756.24,"1"
"35",784,38,122267.85,1,145759.93,"0"
"36",798,36,0,2,159044.1,"0"
"37",542,35,174894.53,1,22314.55,"0"
"38",464,37,155994.15,1,143665.44,"0"
"39",595,25,106570.34,2,177025.79,"0"
"40",496,43,0,2,199505.53,"0"
"41",805,56,151802.29,1,46791.09,"1"
"42",725,39,50880.98,2,184023.54,"0"
"43",515,29,151012.55,2,9770.97,"0"
"44",815,57,0,3,38941.44,"1"
"45",758,42,0,2,76209.56,"0"
"46",683,39,47685.47,2,86019.48,"0"
"47",628,45,0,2,193903.06,"0"
"48",629,37,35549.81,2,49676.33,"0"
"49",508,28,96213.82,2,147913.56,"0"
"50",479,27,172463.45,1,40315.27,"0"
"51",732,42,118889.66,2,87422.15,"0"
"52",750,22,0,2,105125.65,"0"
"53",627,39,124586.93,1,93132.61,"1"
"54",555,26,0,2,93122.41,"0"
"55",656,30,0,2,17104,"0"
"56",592,27,0,2,183569.25,"0"
"57",619,56,0,2,42442.21,"0"
